N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,SK바이오사이언스,"80,800","3,300",-3.92%,500,"62,042","76,784",5.55,"317,966",76.81,N/A,
60,LG이노텍,"261,500","3,000",-1.13%,"5,000","61,889","23,667",20.44,"209,891",7.78,25.85,
61,엔씨소프트,"278,500","3,000",-1.07%,500,"61,142","21,954",42.51,"75,830",16.07,13.73,
62,한화에어로스페이스,"118,700","2,200",-1.82%,"5,000","60,098","50,630",33.88,"467,744",10.52,6.98,
63,KODEX 200,"33,845",285,-0.84%,0,"59,533","175,900",3.72,"2,337,826",N/A,N/A,
64,두산밥캣,"57,000","1,600",+2.89%,500,"57,142","100,249",36.95,"571,450",7.61,13.78,
65,유한양행,"74,200","1,200",+1.64%,"1,000","56,866","76,639",19.35,"517,441",56.90,4.86,
66,DB손해보험,"79,900","2,800",+3.63%,500,"56,569","70,800",45.24,"188,876",4.77,16.45,
67,TIGER CD금리투자KIS(합성),"52,800",5,+0.01%,0,"51,722","97,958",0.06,"108,773",N/A,N/A,
68,HD현대,"63,800",800,+1.27%,"1,000","50,398","78,993",18.07,"191,109",4.45,20.43,
69,LG디스플레이,"14,000",20,-0.14%,"5,000","50,094","357,816",18.02,"853,218",-1.16,-26.71,
70,코스모신소재,"161,900","4,100",+2.60%,"1,000","49,624","30,651",13.64,"380,077",228.35,12.13,
71,한국타이어앤테크놀로지,"39,000",400,+1.04%,500,"48,311","123,875",38.55,"242,289",7.08,8.14,
72,맥쿼리인프라,"11,870",110,-0.92%,0,"48,055","404,846",14.14,"948,259",N/A,N/A,
73,현대제철,"35,600",450,+1.28%,"5,000","47,507","133,446",25.81,"329,900",6.17,5.56,
74,CJ제일제당,"310,500","13,500",+4.55%,"5,000","46,743","15,054",22.47,"153,331",12.60,9.26,
75,오리온,"117,800","3,400",-2.81%,500,"46,574","39,536",42.75,"75,616",11.89,16.47,
76,한국항공우주,"47,700","1,500",-3.05%,"5,000","46,496","97,475",24.87,"962,249",41.66,8.78,
77,한미반도체,"47,700",500,+1.06%,100,"46,431","97,339",8.71,"6,271,015",22.80,25.04,
78,현대오토에버,"166,100","1,600",+0.97%,500,"45,551","27,424",4.60,"107,117",35.65,8.00,
79,한온시스템,"8,460",130,+1.56%,100,"45,159","533,800",16.65,"451,007",100.71,0.89,
80,LG유플러스,"10,090",150,-1.46%,"5,000","44,054","436,611",39.00,"1,246,124",6.83,8.37,
81,미래에셋증권,"7,070",40,-0.56%,"5,000","42,796","605,316",13.74,"613,957",7.93,6.17,
82,넷마블,"47,550","1,450",-2.96%,100,"40,871","85,954",23.20,"166,348",-5.02,-14.56,
83,F&F,"105,900",900,-0.84%,100,"40,567","38,307",13.58,"137,350",8.74,60.40,
84,현대건설,"35,500",550,-1.53%,"5,000","39,531","111,356",22.95,"522,021",10.08,5.49,
85,현대차2우B,"104,500",300,-0.29%,"5,000","37,746","36,121",62.39,"41,054",3.18,N/A,
86,현대미포조선,"92,900","1,300",+1.42%,"5,000","37,106","39,942",20.77,"224,711",-471.57,-2.07,
87,LS,"115,000","5,100",+4.64%,"5,000","37,030","32,200",10.76,"682,683",8.99,12.00,
88,GS,"39,000",300,-0.76%,"5,000","36,237","92,915",23.61,"132,968",1.94,18.86,
89,SKC,"95,600",400,-0.42%,"5,000","36,202","37,868",11.48,"321,557",-16.97,-3.67,
90,KODEX KOFR금리액티브(합성),"103,840",10,+0.01%,0,"35,682","34,362",0.00,"83,634",N/A,N/A,
91,한미약품,"284,000","6,000",-2.07%,"2,500","35,677","12,562",16.47,"45,344",33.52,9.89,
92,금호석유,"121,700","3,100",-2.48%,"5,000","35,676","29,314",19.92,"71,249",5.09,19.11,
